ID,LUGAR,TIEMPO ,SES
R019,ABIERTOS,13.594,P46
R017,ABIERTOS,104.522,P46
R020,ABIERTOS,185.948,P46
R018,ABIERTOS,108.1,P46
R021,ABIERTOS,59.217,P46
R019,CERRADOS,159.94,P46
R017,CERRADOS,61.04,P46
R020,CERRADOS,81.445,P46
R018,CERRADOS,68.789,P46
R021,CERRADOS,150.728,P46
R019,CENTRO,128.466,P46
R017,CENTRO,120.422,P46
R020,CENTRO,25.862,P46
R018,CENTRO,107.204,P46
R021,CENTRO,109.865,P46
R016,ABIERTOS,175.153,P74
R015,ABIERTOS,28.209,P74
R013,ABIERTOS,44.765,P74
R014,ABIERTOS,57.249,P74
R012,ABIERTOS,15.526,P74
R016,CERRADOS,5.878,P74
R015,CERRADOS,174.202,P74
R013,CERRADOS,83.376,P74
R014,CERRADOS,111.967,P74
R012,CERRADOS,228.767,P74
R016,CENTRO,121.702,P74
R015,CENTRO,87.149,P74
R013,CENTRO,159.196,P74
R014,CENTRO,79.829,P74
R012,CENTRO,46.504,P74
R019,ABIERTOS,0,P89
R017,ABIERTOS,0,P89
R020,ABIERTOS,0,P89
R018,ABIERTOS,27.06,P89
R021,ABIERTOS,30.38,P89
R019,CERRADOS,286.39,P89
R017,CERRADOS,231.21,P89
R020,CERRADOS,239.15,P89
R018,CERRADOS,189.12,P89
R021,CERRADOS,175.33,P89
R016,CENTRO,17.18,P89
R015,CENTRO,74.37,P89
R013,CENTRO,45.4,P89
R014,CENTRO,70.45,P89
R012,CENTRO,80.01,P89
