ID,SES,OBJETO,TIEMPO,EXPLORACIONES
R019,10,MUESTRA1,20.595,6
R017,10,MUESTRA1,10.017,4
R020,10,MUESTRA1,1.502,1
R018,10,MUESTRA1,8.899,5
R021,10,MUESTRA1,24.942,8
R019,10,MUESTRA2,46.814,5
R017,10,MUESTRA2,10.285,6
R020,10,MUESTRA2,3.238,1
R018,10,MUESTRA2,7.683,6
R021,10,MUESTRA2,18.158,5
R019,60,VIEJO,8.37,5
R017,60,VIEJO,8.518,3
R020,60,VIEJO,20.545,4
R018,60,VIEJO,6.287,3
R021,60,VIEJO,13.404,4
R019,60,NUEVO,10.217,5
R017,60,NUEVO,6.896,2
R020,60,NUEVO,14.149,4
R018,60,NUEVO,6.821,4
R021,60,NUEVO,13.138,3
R019,240,VIEJO,12.96,6
R017,240,VIEJO,4.535,3
R020,240,VIEJO,14.843,4
R018,240,VIEJO,11.079,3
R021,240,VIEJO,24.19,7
R019,240,NUEVO,2.913,4
R017,240,NUEVO,0.7,1
R020,240,NUEVO,16.912,3
R018,240,NUEVO,0.835,2
R021,240,NUEVO,5.766,4
R019,2880,VIEJO,11.422,5
R017,2880,VIEJO,5.587,5
R020,2880,VIEJO,9.496,6
R018,2880,VIEJO,20.482,13
R021,2880,VIEJO,6.554,7
R019,2880,NUEVO,9.476,6
R017,2880,NUEVO,9.682,3
R020,2880,NUEVO,5.714,4
R018,2880,NUEVO,13.204,8
R021,2880,NUEVO,28.644,10
R016,10,MUESTRA1,14.6,2
R015,10,MUESTRA1,4.11,2
R013,10,MUESTRA1,10.16,2
R014,10,MUESTRA1,7.73,2
R012,10,MUESTRA1,4.78,1
R016,10,MUESTRA2,12.3,4
R015,10,MUESTRA2,21.5,4
R013,10,MUESTRA2,0,0
R014,10,MUESTRA2,22.02,6
R012,10,MUESTRA2,8.68,2
R016,60,VIEJO,1.01,1
R015,60,VIEJO,35.93,4
R013,60,VIEJO,10.7,3
R014,60,VIEJO,0,0
R012,60,VIEJO,4.12,1
R016,60,NUEVO,0,0
R015,60,NUEVO,15.62,2
R013,60,NUEVO,23.75,4
R014,60,NUEVO,2.55,1
R012,60,NUEVO,0,0
R016,240,VIEJO,0.985,1
R015,240,VIEJO,5.557,7
R013,240,VIEJO,14.039,8
R014,240,VIEJO,10.894,8
R012,240,VIEJO,5.232,6
R016,240,NUEVO,12.66,5
R015,240,NUEVO,26.18,5
R013,240,NUEVO,20.861,7
R014,240,NUEVO,25.705,8
R012,240,NUEVO,26.163,3
R016,2880,VIEJO,0,0
R015,2880,VIEJO,7.584,3
R013,2880,VIEJO,7.459,6
R014,2880,VIEJO,3.913,3
R012,2880,VIEJO,3.42,5
R016,2880,NUEVO,3.656,3
R015,2880,NUEVO,12.647,10
R013,2880,NUEVO,11.104,4
R014,2880,NUEVO,9.074,5
R012,2880,NUEVO,1.965,3
