ID,SES,OBJETO.MAS.EXPLORADO,TIEMPO.TOTAL,OBSERVACIONES.TOTALES
R019,10,SAMPLE,67.409,11
R017,10,SAMPLE,20.302,10
R020,10,SAMPLE,4.74,2
R018,10,SAMPLE,16.582,11
R021,10,SAMPLE,43.1,13
R019,60,NEW,18.587,10
R017,60,OLD,18.587,10
R020,60,OLD,34.694,8
R018,60,NEW,13.108,7
R021,60,OLD,26.542,7
R019,240,OLD,15.873,10
R017,240,OLD,5.235,4
R020,240,NEW,31.755,7
R018,240,OLD,11.914,5
R021,240,OLD,29.956,11
R019,2880,OLD,16.938,10
R017,2880,NEW,15.269,8
R020,2880,OLD,15.21,10
R018,2880,OLD,33.686,21
R021,2880,NEW,35.198,17
R016,10,SAMPLE,26.9,6
R015,10,SAMPLE,25.61,6
R013,10,SAMPLE,10.16,2
R014,10,SAMPLE,29.75,8
R012,10,SAMPLE,13.46,3
R016,60,OLD,1.01,1
R015,60,OLD,51.55,6
R013,60,NEW,34.45,7
R014,60,NEW,2.55,1
R012,60,OLD,4.12,1
R016,240,NEW,13.645,6
R015,240,NEW,31.737,12
R013,240,NEW,34.9,15
R014,240,NEW,25.705,36.599
R012,240,NEW,26.163,31.395
R016,2880,NEW,3.656,3
R015,2880,NEW,20.231,13
R013,2880,NEW,18.563,10
R014,2880,NEW,12.987,8
R012,2880,OLD,5.385,8
